Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Leguminosae,Robinia,hispida,"Bristly locust, Rose-acacia, or Moss locust",fast,"[4, 5, 6, 7, 8]",3.5,2.0,Deciduous Shrub,Deciduous,"['Birds', 'Insects']",,,,,"['light', 'medium', 'heavy']",Neutral and basic soils and can grow in very alkaline,"['Neutral', 'basic', 'very alkaline']",Well-drained soil,,"Thin upland woodlands, woodland edges, thickets, fence rows, roadside embankments, banks of drainage canals, vacant lots, and overgrown waste areas.",Native Range: Central and eastern United States,0,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Robinia+hispida
Fabaceae or Leguminosae,Robinia,pseudoacacia,"Black Locust, Yellow Locust",fast,"[4, 5, 6, 7, 8, 9]",25.0,15.0,Deciduous Tree,Deciduous,['Bees'],,June,November to March,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Woods and thickets, especially in deep well-drained calcareous soils.",Eastern N. America - Appalachian and Ozark mountain ranges. Naturalized in Britain[17].,3,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Robinia+pseudoacacia
Fabaceae or Leguminosae,Robinia,viscosa,"Clammy Locust, 	Hartweg's locust",medium,"[3, 4, 5, 6, 7]",13.0,,Deciduous Tree,Deciduous,['Insects'],,May to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,Dry open woodland and hillside scrub to 1200 metres.,South-eastern N. America - Pennsylvania to Alabama.,0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Robinia+viscosa
Rosaceae,Rosa,carolina,"Pasture Rose, Carolina rose",,"[4, 5, 6, 7, 8]",1.5,,Deciduous Shrub,Deciduous,['Bees'],,June.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,Dry sandy or rocky open habitats or thin woods. Swamps and low ground according to another report.,"Eastern N. America - Nova Scotia to Ontario, Minnesota, Missouri, Florida and Mississippi.",2,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Rosa+carolina
Rosaceae,Rosa,palustris,Swamp rose,fast,"[3, 4, 5, 6, 7, 8, 9]",2.0,2.0,Deciduous Shrub,Deciduous,"['Birds', 'Insects']",,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",,,"Moist soils of marshes, swamps and riparian areas where there is adequate moisture, full sun, and typically more acid soils.",Eastern North America,3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Rosa+palustris
Rosaceae,Rosa,rugosa,"Ramanas Rose, Rugosa rose",medium,"[3, 4, 5, 6, 7, 8, 9]",2.0,2.0,Deciduous Shrub,Deciduous,['Insects'],,June to August,August to October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Maritime exposure,Sandy sea shores.,"E. Asia - N. China, Japan, Korea. Naturalized in several places in Britain[17].",5,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Rosa+rugosa
Rosaceae,Rosa,setigera,"Prairie rose, Climbing Wild Rose",fast,"[4, 5, 6, 7]",2.5,2.5,Deciduous Shrub,Deciduous,"['Birds', 'Insects']",,,,,"['light', 'medium', 'heavy']",Neutral and basic soils and can grow in very alkaline,"['Neutral', 'basic', 'very alkaline']",Well-drained soil. suitable ph: neutral,,"Moist to mesic prairies, savannas, thickets, woodland borders and clearings, acid gravel seeps, fence rows, abandoned pastures, and waste areas. ",Native Range: Eastern and central North America,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Rosa+setigera
Rosaceae,Rosa,villosa,Apple Rose,,"[4, 5, 6, 7, 8]",1.8,,Deciduous Shrub,Deciduous,"['Bees', 'Flies', 'Lepidoptera (moths & butterflies)']",,June to August,August to October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,"Woods, hedgerows, scrub etc.","Europe, including Britain, from Scandanavia south and east to Spain, the Caucasus, W. Asia to Iran.",4,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Rosa+villosa
Rosaceae,Rubus,chamaemorus,Cloudberry,,"[2, 3, 4]",0.3,1.0,Perennial,,"['Bees', 'Flies']",,June to August,July to September,Dioecious,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,"Cool boggy places, often found amongst bilberries on hills and mountain sides, avoiding shade and calcareous soils.","Northern Europe, including Britain, from Scandanavia south and east to Germany and N. Asia.",4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+chamaemorus
Rosaceae,Rubus,flagellaris,Northern Dewberry,,"[3, 4, 5, 6, 7]",0.2,2.0,Deciduous Shrub,Deciduous,"['Insects', 'Apomictic (reproduce by seeds formed without sexual fusion)']",,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Dry fields, openings and borders of thickets in slightly acid soils.",Eastern N. America.,3,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+flagellaris
Rosaceae,Rubus,fruticosus,"Blackberry, Shrubby blackberry",fast,"[5, 6, 7, 8, 9]",3.0,3.0,Deciduous Shrub,Deciduous,"['Insects', 'Apomictic (reproduce by seeds formed without sexual fusion)']",March to November,May to September,July to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid and very alkaline","['Mildly acid', ' neutral', 'basic', 'very acid', 'very alkaline']",Well-drained soil,Drought,"A very common and adaptable plant, found in hedgerows, woodland, meadows, waste ground etc[17, 244].","Europe, including Britain, to the Mediterraneanand Macaronesia.",5,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+fruticosus
Rosaceae,Rubus,idaeus,"Raspberry, American red raspberry, Grayleaf red raspberry",medium,"[4, 5, 6, 7, 8]",2.0,1.5,Deciduous Shrub,Deciduous,"['Bees', 'Flies']",April to November,June to August,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Moist neglected land, hedgerows and woodland edges[7, 11, 244].","Europe, including Britain, from Iceland south and east to Spain and temperate Asia.",5,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+idaeus
Rosaceae,Rubus,illecebrosus,Strawberry-Raspberry,,"[4, 5, 6, 7, 8]",0.6,1.0,Deciduous Shrub,Deciduous,['Insects'],,July,August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Thickets and waste ground.,E. Asia - Japan.,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+illecebrosus
Rosaceae,Rubus,occidentalis,Black Raspberry,,"[3, 4, 5, 6, 7]",3.0,,Deciduous Shrub,Deciduous,['Insects'],,June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich thickets, ravines and borders of woods, often in full shade and preferring moist positions.","Eastern and Central N. America - New Brunswick to Ontario, south to Georgia and Missouri.",4,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+occidentalis
Rosaceae,Rubus,odoratus,"Thimbleberry, Purpleflowering raspberry",medium,"[3, 4, 5, 6, 7]",2.5,2.5,Deciduous Shrub,Deciduous,['Bees'],,June to September,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Moist thickets and woodland borders.,Eastern N. America - Quebec to Ontario and south to Tennessee. Occasionally naturalized in Britain.,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+odoratus
Rosaceae,Rubus,parviflorus,Thimbleberry,medium,"[3, 4, 5, 6, 7]",2.5,2.0,Deciduous Shrub,Deciduous,['Insects'],,June,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Woodlands, canyons and open areas.",Western N. America - Alaska to Ontario and California. Occasionally naturalized in Britain[17].,3,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+parviflorus
Rosaceae,Rubus,spectabilis,Salmonberry,medium,"[4, 5, 6, 7, 8]",1.8,1.0,Deciduous Shrub,Deciduous,['Insects'],,April,June to July,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']","Well-drained soil. suitable ph: mildly acid, neutral",,Moist spots in and about woods below 300 metres in California.,Western N. America - Alaska to California. Occasionally naturalized in Britain[17].,3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+spectabilis
Rosaceae,Rubus,tricolor,Creeping Bramble,fast,"[6, 7, 8, 9]",0.3,2.0,Evergreen Shrub,Evergreen,['Insects'],,July,August to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Steep banks and in scrub on mountains to 3000 metres. Slopes, forests and thickets at elevations of 1800 - 3600 metres in Sichuan and Yunnan.",E. Asia - W. China.,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Rubus+tricolor
Polygonaceae,Rumex,acetosa,"Sorrel, Garden sorrel",,"[3, 4, 5, 6, 7]",0.6,0.3,Perennial,,['Wind'],,May to June,June to August,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",,,"Meadows, by streams and in open places in woodland[7, 17]. Often found as a weed of acid soils.","Most of Europe, including Britain, temperate Asia, N. America, Greenland.",5,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Rumex+acetosa
Polygonaceae,Rumex,acetosella,"Sheeps Sorrel, Common sheep sorrel",fast,"[4, 5, 6, 7, 8]",0.3,1.0,Perennial,,['Wind'],,May to August,July to September,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",,Maritime exposure,"Heaths and acid grasslands. A weed of acid soils[17, 55].","Cetral and southeastern Europe, including Britain, as far north as Scandanavia and Iceland.",4,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Rumex+acetosella
Polygonaceae,Rumex,scutatus,"Buckler-Leaved Sorrel, French sorrel",medium,"[5, 6, 7, 8, 9]",0.6,0.6,Perennial,,['Wind'],,June to July,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Drought,"Old walls and mountain pastures[17, 244].",Europe. Occasionally naturalized in Britain[17].,4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Rumex+scutatus
Lamiaceae or Labiatae,Salvia,officinalis,"Sage, Kitchen sage, Small Leaf Sage, Garden  Sage",medium,"[5, 6, 7, 8, 9, 10]",0.6,0.6,Evergreen Shrub,Evergreen,['Bees'],,June to August,August to September,Hermaphrodite,"['light', 'medium']",Neutral and basic soils and can grow in very alkaline,"['Neutral', 'basic', 'very alkaline']",Well-drained soil. suitable ph: neutral,Drought,"Dry banks and stony places, usually in limestone areas and often where there is very little soil.",S. Europe.,4,5,5,https://pfaf.org/user/Plant.aspx?LatinName=Salvia+officinalis
Caprifoliaceae,Sambucus,canadensis,American Elder,fast,"[3, 4, 5, 6, 7, 8, 9]",4.0,4.0,Deciduous Shrub,Deciduous,['Insects'],,July,September,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,Atmospheric pollution,"Rich moist soils along streams and rivers, woodland margins and waste ground.","Eastern N. America - Nova Scotia to Florida, west to Manitoba and Texas.",4,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Sambucus+canadensis
Rosaceae,Sanguisorba,canadensis,"American Great Burnet, Canadian burnet",,"[4, 5, 6, 7, 8]",1.2,0.6,Perennial,,['Insects'],,August to September,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Wet meadows and swamps. Peaty or boggy soils.,North-eastern N. America - Newfoundland to Michigan and south to Georgia.,1,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Sanguisorba+canadensis
Rosaceae,Sanguisorba,minor,"Salad Burnet, Small burnet",,"[4, 5, 6, 7, 8]",0.6,0.3,Evergreen Perennial,Evergreen,['Bees'],,May to August,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,Maritime exposure,"Grassland, usually on calcareous soils[9, 17, 37].","Europe, including Britain, from Sweden south and east to France, Armenia and Iran.",4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Sanguisorba+minor
Rosaceae,Sanguisorba,officinalis,Great Burnet,,"[4, 5, 6, 7, 8]",1.0,0.6,Perennial,,"['Bees', 'Flies', 'Lepidoptera (moths & butterflies)']",,June to September.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",,,"Meadows and wet grassy places by streams. Moist shady sites in grassland, on siliceous soils[7, 13, 17].","Europe, including Britain, from celand south and east to Spain, temperate Asia to Iran, China, Japan",2,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Sanguisorba+officinalis
Poaceae or Gramineae,Sasa,kurilensis,Chishima Zasa,,"[6, 7, 8, 9]",2.5,,Evergreen Bamboo,Evergreen,['Wind'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Forms compact clumps in thickets on high mountain slopes, C. and N. Japan[74, 58].","E. Asia - Japan, Korea.",4,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Sasa+kurilensis
Lauraceae,Sassafras,albidum,"Sassafras, Common Sassafras",medium,"[5, 6, 7, 8, 9]",25.0,15.0,Deciduous Tree,Deciduous,,April to October,May to June,September to October,Dioecious,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"Deciduous woodlands and thickets on rich sandy well-drained soils[43, 62, 159, 165]. Found on moist soils.","Eastern N. America - Maine to Ontario, south to Florida and Texas.",5,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Sassafras+albidum
Saxifragaceae,Saxifraga,stolonifera,"Strawberry Saxifrage, Creeping Saxifrage, Strawberry Geranium, Strawberry Begonia",medium,"[6, 7, 8, 9, 10]",0.2,0.3,Evergreen Perennial,Evergreen,,,July to August.,,,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Shady cliffs and mossy rocks at low altitudes. Occasionally naturalized on walls in C. and S. Europe.,"E. Asia - W. China, Japan. Naturalized in C. and S. Europe[50].",2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Saxifraga+stolonifera
Schisandraceae,Schisandra,chinensis,"Magnolia Vine, Wu Wei Zi",medium,"[4, 5, 6, 7, 8]",9.0,,Deciduous Climber,Deciduous,,,April to May,August to October,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Mixed forests, especially on the margins, also by streams and brooks, usually on sandy soils.","E. Asia - China, Japan, Korea.",4,5,2,https://pfaf.org/user/Plant.aspx?LatinName=Schisandra+chinensis
Asteraceae or Compositae,Scorzonera,hispanica,Scorzonera,,"[5, 6, 7, 8, 9]",1.0,,Perennial,,['Insects'],,June to September,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Cultivated ground, rocks and bushy places.",S. Europe.,4,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Scorzonera+hispanica
Crassulaceae,Sedum,album,"Small Houseleek, White stonecrop, Sedum, Stonecrop",medium,"[6, 7, 8]",0.1,0.5,Evergreen Perennial,Evergreen,"['Bees', 'Flies']",,July to August,August to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Rocks, walls, cobbled paths etc, in dry sunny situations on acid or calcareous soils[4, 17].",Europe. Long naturalized in Britain.,1,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Sedum+album
Crassulaceae,Sedum,reflexum,Crooked Yellow Stonecrop,,"[6, 7, 8, 9]",0.1,0.3,Evergreen Perennial,Evergreen,"['Bees', 'Flies', 'Lepidoptera (moths & butterflies)']",,July to August,August to September,Hermaphrodite,"['light', 'medium', 'heavy']",Neutral and basic,"['Neutral', 'basic']",Well-drained soil. suitable ph: neutral,Drought,"Walls, shingle and warm grassy places on sandy soils[4, 9]. Avoids acid soils.",C. W. and S. Europe. Naturalized in Britain[17].,1,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Sedum+reflexum
Crassulaceae,Sedum,ternatum,Woodland stonecrop or Wild stonecrop,medium,"[3, 4, 5, 6, 7, 8, 9]",0.2,0.3,Evergreen Perennial,Evergreen,"['Bees', 'Insects']",,,,,"['light', 'medium', 'heavy']",Neutral and basic soils and can grow in very alkaline,"['Neutral', 'basic', 'very alkaline']",Well-drained soil. suitable ph: neutral,Drought,"Wooded ravines, partially shaded banks along rivers and streams, lightly shaded cliffs, and rocky wooded slopes. Found on slopes where there is little ground vegetation normally in or near woodlands.",Native to the eastern United States from Maine to Georgia and west from Michigan to Iowa and Arkansas.,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Sedum+ternatum
Poaceae or Gramineae,Semiarundinaria,fastuosa,"Narihiradake, Narihira bamboo",slow,"[6, 7, 8, 9]",7.5,3.0,Evergreen Bamboo,Evergreen,['Wind'],,,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,Maritime exposure,Light woodlands and moist places.,E. Asia - S. Japan. Locally naturalized in Britain and Ireland.,5,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Semiarundinaria+fastuosa
Compositae,Senecio,aureus,Roundleaf ragwort,fast,"[3, 4, 5, 6, 7, 8]",0.6,0.6,Evergreen Perennial,Evergreen,"['Bees', 'Insects']",,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,"Moist but well-drained calcareous soils, wooded slopes, and rocky areas in shaded or semi-shaded locations.","Native range: northern Mexico, the eastern United States and southeastern Canada, extending from Coahuila to Quebec and Ontario. ",0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Senecio+aureus
Elaeagnaceae,Shepherdia,canadensis,"Buffalo Berry, Russet buffaloberry, Canada Buffaloberry",medium,"[2, 3, 4, 5, 6]",2.5,,Deciduous Shrub,Deciduous,,,April,July to September,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Calcareous rocks, banks and sandy shores, usually in partial shade.","N. America - Newfoundland to Alaska, south to British Columbia, New York and New Mexico.",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Shepherdia+canadensis
Asteraceae or Compositae,Silphium,laciniatum,"Compass Plant, Robinson's compassplant",,"[4, 5, 6, 7, 8]",2.0,0.6,Perennial,,['Insects'],,July to August,August to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Prairies and glades. Calcareous or sandy soils and prairies in Texas.,"Central N. America - Ohio to Minnesota, south to Alabama and Texas.",2,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Silphium+laciniatum
Asteraceae or Compositae,Silphium,perfoliatum,"Cup Plant, Rosinweed",medium,"[3, 4, 5, 6, 7]",2.5,,Perennial,,['Insects'],,July,August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Rich woods, thickets, river banks and prairies.","Eastern N. America - Ontario to South Dakota, south to Georgia, Missouri and Oklahoma.",0,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Silphium+perfoliatum
Compositae,Silphium,trifoliatum,Whorled rosinweed,medium,"[4, 5, 6]",1.8,1.8,Perennial,,"['Bees', 'Insects']",,,,,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Open, grassy areas such as prairies, river cobble bars, and roadsides.",Native to the eastern United States east of the Mississippi River.,0,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Silphium+trifoliatum
Apiaceae or Umbelliferae,Sium,sisarum,"Skirret, Suikerwortel (Netherlands), Crummock (Scotland),  Zuckewurzel (Germany)",,"[4, 5, 6, 7, 8, 9]",1.0,0.4,Perennial,,['Insects'],March to November,July,September,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Not known in a truly wild situation but found as an escape from cultivation in damp places.,"Original habitat is obscure, possibly in E. Europe or Asia.",4,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Sium+sisarum
Asteraceae or Compositae,Smallanthus,uvedalia,Bearsfoot,,[],2.7,,Perennial,,['Insects'],,September.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Rich woods and thickets.,"Eastern N. America - New York to Indiana, Tennessee, Florida and Texas.",0,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Smallanthus+uvedalia
Convallariaceae,Smilacina,racemosa,False Spikenard,,"[2, 3, 4, 5, 6, 7, 8]",1.0,0.6,Perennial,,['Insects'],,May to June,August to October,Hermaphrodite,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"Moist coniferous and deciduous woods, clearings and bluffs[43, 60, 187], preferring shaded streamsides.","N. America - British Columbia to Nova Scotia, south to Georgia and Missouri.",4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Smilacina+racemosa
Smilacaceae,Smilax,herbacea,"Carrion Flower, Smooth carrionflower",,"[4, 5, 6, 7, 8]",2.5,,Perennial Climber,Perennial,,,May to June.,,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Open woodlands, meadows and rich alluvial thickets. Higher elevations in rich woods, alluvial thickets, and meadows, often in calcareous soils at elevations of 100--800 metres.",Eastern N. America - southwards from Quebec.,4,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Smilax+herbacea
Compositae,Solidago,flexicaulis,Zigzag goldenrod,medium,"[3, 4, 5, 6, 7, 8, 9]",0.6,0.6,Perennial,,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Dry or  moist soil,Drought,"Rich deciduous woods, wooded east and north facing slopes, rocky woods, edges of floodplain forests, shaded calcareous seeps, wooded stream banks, edges of limestone glades and cliffs.","Native to the eastern and central parts of the United States and Canada, from Nova Scotia west to Ontario and the Dakotas, and south as far as Alabama and Louisiana.",0,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Solidago+flexicaulis
Asteraceae or Compositae,Solidago,missouriensis,"Prairie Goldenrod, Missouri goldenrod, Tolmie's goldenrod",,"[6, 7, 8, 9]",1.2,0.6,Perennial,,['Insects'],,July to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Dry prairies, gravels and rocky slopes.",Western N. America.,2,1,1,https://pfaf.org/user/Plant.aspx?LatinName=Solidago+missouriensis
Asteraceae or Compositae,Solidago,odora,"Sweet Goldenrod, Anisescented goldenrod, Chapman's goldenrod",,"[3, 4, 5, 6, 7]",1.2,,Perennial,,['Insects'],,July to August.,,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,Dry sterile soil or thin woodlands. Woods and roadsides in Texas.,"Eastern N. America - New Hampshire to Florida, west to Texas and Oklahoma.",2,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Solidago+odora
Fabaceae or Leguminosae,Sophora,japonica,"Japanese Pagoda Tree, Scholar Tree",fast,"[4, 5, 6, 7, 8, 9]",20.0,20.0,Deciduous Tree,Deciduous,['Insects'],,September,November,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,Open country between 300 and 1000 metres in W. China.,"E. Asia - N. China, Japan, Korea.",2,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Sophora+japonica
Rosaceae,Sorbus,americana,American Mountain Ash,slow,"[2, 3, 4, 5, 6]",10.0,7.0,Deciduous Tree,Deciduous,['Insects'],,May to June,September to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,"Woods, borders of swamps and rocky hillsides[43, 82] at higher elevations.","Eastern N. America - Newfoundland to N. Carolina, west to Illinois and Manitoba.",1,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Sorbus+americana
Rosaceae,Sorbus,aucuparia,"Mountain Ash, European mountain ash",medium,"[3, 4, 5, 6]",15.0,7.0,Deciduous Tree,Deciduous,['Insects'],,May to June,August to September,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid and very alkaline","['Mildly acid', ' neutral', 'basic', 'very acid', 'very alkaline']",Well-drained soil,Maritime exposure,"Woods, scrub and mountain rocks, mainly on lighter soil, rare or absent on clays or soft limestones. It is found at higher elevations than any other native tree.","Europe, including Britain, south and east from Iceland to Spain, Macedonia and the Caucasus.",2,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Sorbus+aucuparia
Rosaceae,Sorbus,decora,Showy Mountain Ash,,[],10.0,8.0,Deciduous Tree,Deciduous,['Insects'],,May to June.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,"Woods, rocky slopes and shores. Found in various soils and conditions.","North-eastern N. America - Labrador and Newfoundland to Quebec, south to Iowa and Maine.",1,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Sorbus+decora
